STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 00:37,FM-16,SCT:04 9,7.00,,-2,-18.9,-2,-19.1,-4,-20.0,91,7,090,,24.73,,,,,30.19,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 00:46,FM-16,BKN:07 9 BKN:07 180,9.00,,-1,-18.3,-1,-18.6,-4,-20.0,87,7,110,,24.73,,,,,30.19,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 00:53,FM-15,BKN:07 9 BKN:07 180,10.00,,-1,-18.3,-1,-18.6,-4,-20.0,87,8,110,,24.73,,,30.44,0.00,30.19,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 01:05,FM-16,OVC:08 10,10.00,,-1,-18.3,-1,-18.6,-4,-20.0,87,6,130,,24.72,,,,,30.18,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 01:33,FM-16,BKN:07 9 BKN:07 180,10.00,,-2,-18.9,-2,-19.2,-5,-20.6,87,6,150,,24.73,,,,,30.20,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 01:51,FM-16,SCT:04 9 OVC:08 27,10.00,,0,-18.0,-1,-18.4,-6,-21.0,78,6,130,,24.73,,,,,30.19,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 01:53,FM-15,SCT:04 9 OVC:08 27,10.00,,-1,-18.3,-2,-18.7,-5,-20.6,82,6,130,,24.73,6,,30.45,0.00,30.19,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 02:00,FM-12,8,,,-1,-18.3,-2,-18.7,-5,-20.6,82,6,130,,24.78,6,+0.01,30.45,,,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 02:26,FM-16,BKN:07 12 OVC:08 25,10.00,,0,-17.8,-1,-18.2,-4,-20.0,83,7,140,,24.73,,,,,30.19,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 02:53,FM-15,BKN:07 11 OVC:08 25,10.00,,1,-17.2,0,-17.7,-3,-19.4,83,7,150,,24.73,,,30.43,0.00,30.19,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 03:05,FM-16,FEW:02 10 BKN:07 25,10.00,,1,-17.2,0,-17.7,-3,-19.4,83,8,140,,24.72,,,,,30.18,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 03:51,FM-16,FEW:02 10 SCT:04 25 BKN:07 100,10.00,,1,-17.0,0,-17.6,-2,-19.0,85,7,130,,24.69,,,,,30.15,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 03:53,FM-15,FEW:02 10 SCT:04 25 BKN:07 100,10.00,,1,-17.2,0,-17.7,-3,-19.4,83,7,130,,24.69,,,30.41,0.00,30.15,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,2019-01-01 04:53,FM-15,FEW:02 25 OVC:08 100,10.00,,1,-17.2,0,-17.7,-3,-19.4,83,8,140,,24.68,8,,30.40,0.00,30.14,,,,,,,,,,0720,1645,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
